content_id,title,genre,content_type,release_year,duration_minutes
CT00001,Training Data,Drama,Movie,2024,157
CT00002,Break Garden,Romance,Movie,2010,147
CT00003,Plan Far,Drama,Movie,2015,155
CT00004,Room Culture,Drama,Series,2011,26
CT00005,Into Support,Drama,Movie,2020,116
CT00006,Will Hot,Action,Movie,2020,135
CT00007,Purpose Amount,Sci-Fi,Movie,2015,151
CT00008,Employee Live,Animation,Series,2020,41
CT00009,Total Who,Romance,Series,2016,47
CT00010,Professor Democratic,Romance,Series,2020,66
CT00011,Law Term,Drama,Movie,2010,112
CT00012,Low Region,Documentary,Series,2022,58
CT00013,Discuss Series,Romance,Series,2013,31
CT00014,Theory Might,Documentary,Movie,2026,99
CT00015,Bad Sound,Drama,Movie,2011,134
CT00016,City Beyond,Drama,Movie,2026,87
CT00017,Worker Maybe,Romance,Movie,2025,112
CT00018,Trial Speech,Drama,Movie,2013,102
CT00019,Site Baby,Animation,Series,2025,26
CT00020,Candidate Happy,Animation,Movie,2021,141
CT00021,East Interest,Comedy,Series,2011,29
CT00022,Also Above,Documentary,Series,2022,43
CT00023,Answer Tonight,Drama,Series,2010,66
CT00024,Help Program,Documentary,Movie,2013,115
CT00025,View Form,Animation,Movie,2013,174
CT00026,Important Over,Animation,Movie,2011,84
CT00027,Marriage Pretty,Comedy,Series,2016,26
CT00028,About Course,Documentary,Movie,2018,112
CT00029,Why Share,Documentary,Series,2017,55
CT00030,Beat Since,Drama,Series,2023,47
CT00031,Into Approach,Romance,Series,2021,26
CT00032,With Task,Romance,Movie,2022,98
CT00033,Main Low,Drama,Movie,2019,136
CT00034,Like Chance,Documentary,Movie,2012,92
CT00035,Though Him,Thriller,Movie,2024,110
CT00036,Say Especially,Romance,Series,2018,67
CT00037,Effect Bank,Comedy,Series,2015,65
CT00038,Author Financial,Thriller,Movie,2022,180
CT00039,Media Big,Romance,Series,2012,58
CT00040,Garden Leave,Comedy,Movie,2018,83
CT00041,Lot Provide,Romance,Series,2013,41
CT00042,Charge Than,Animation,Movie,2018,104
CT00043,Significant Respond,Action,Series,2019,46
CT00044,Real Drop,Sci-Fi,Movie,2016,96
CT00045,Data Player,Action,Series,2016,47
