customer_id,signup_date,age,gender,country,city,campaign_id,acquisition_channel
C000001,2025-05-10,56,Male,United States,New York,8,Referral
C000002,2025-12-31,28,Female,United States,New York,4,Instagram
C000003,2025-11-10,20,Female,Japan,Kyoto,7,Email
C000004,2023-05-02,19,Female,India,Bengaluru,10,Organic
C000005,2024-04-11,63,Female,United States,Los Angeles,9,Influencer
C000006,2023-11-27,59,Female,United States,Los Angeles,2,Google Ads
C000007,2023-03-29,41,Other,United States,Los Angeles,7,Email
C000008,2025-05-21,37,Other,Germany,Hamburg,2,Google Ads
C000009,2023-05-11,57,Female,India,Mumbai,7,Email
C000010,2025-02-08,32,Male,United Kingdom,Birmingham,6,YouTube
C000011,2023-12-10,23,Male,Germany,Hamburg,6,YouTube
C000012,2025-03-16,37,Other,United Kingdom,Birmingham,7,Email
C000013,2024-01-21,39,Male,Germany,Berlin,1,Google Ads
C000014,2025-08-13,19,Male,United States,San Francisco,9,Influencer
C000015,2023-10-04,32,Male,Japan,Tokyo,1,Google Ads
C000016,2024-04-04,65,Female,Japan,Tokyo,10,Organic
C000017,2023-01-22,51,Female,India,Mumbai,8,Referral
C000018,2023-09-10,63,Male,India,Delhi,4,Instagram
C000019,2025-01-17,48,Male,India,Delhi,3,Instagram
C000020,2025-05-06,47,Female,United Kingdom,Birmingham,4,Instagram
C000021,2024-04-19,45,Female,United States,New York,4,Instagram
C000022,2025-12-18,50,Male,United States,Los Angeles,9,Influencer
C000023,2024-05-25,58,Female,India,Ahmedabad,6,YouTube
C000024,2024-11-30,38,Female,United Kingdom,London,7,Email
C000025,2025-09-02,63,Male,United States,San Francisco,10,Organic
C000026,2023-07-09,40,Male,United States,Chicago,5,Facebook
C000027,2025-08-15,59,Male,Japan,Tokyo,9,Influencer
C000028,2024-11-17,30,Female,India,Delhi,2,Google Ads
C000029,2025-08-15,62,Female,United States,San Francisco,7,Email
C000030,2024-07-16,43,Male,Australia,Melbourne,6,YouTube
C000031,2025-04-11,36,Male,United States,Chicago,9,Influencer
C000032,2024-10-08,44,Female,India,Delhi,3,Instagram
C000033,2023-01-21,57,Male,India,Delhi,7,Email
C000034,2025-04-20,24,Female,United States,Chicago,8,Referral
