subscription_id,customer_id,plan_id,start_date,end_date,subscription_status,cancellation_reason
S000001,C002899,2,2024-04-06,,Active,
S000002,C041141,1,2025-07-19,,Active,
S000003,C007438,1,2025-07-15,2026-08-15,Cancelled,Low Engagement
S000004,C034579,2,2025-06-01,2025-12-01,Cancelled,Not Enough Content
S000005,C000711,1,2025-04-07,2025-11-07,Cancelled,Switched to Competitor
S000006,C045526,2,2025-04-06,,Active,
S000007,C001697,1,2025-09-27,,Active,
S000008,C041042,2,2023-09-10,2024-12-10,Cancelled,Too Expensive
S000009,C006360,2,2025-10-28,,Active,
S000010,C019863,1,2025-03-26,,Active,
S000011,C033496,2,2023-04-08,2024-10-08,Cancelled,Switched to Competitor
S000012,C017176,1,2023-11-24,,Active,
S000013,C006560,2,2023-03-14,,Active,
S000014,C002817,3,2023-11-24,2025-08-24,Cancelled,Low Engagement
S000015,C003761,2,2023-01-31,2024-07-31,Cancelled,Switched to Competitor
S000016,C024565,2,2023-02-12,2024-04-12,Cancelled,Not Enough Content
S000017,C039574,2,2024-06-29,2026-05-29,Cancelled,Switched to Competitor
S000018,C010687,2,2023-11-09,,Active,
S000019,C016948,1,2024-11-25,2025-02-25,Cancelled,Low Engagement
S000020,C046338,2,2025-10-09,,Active,
S000021,C048450,2,2024-09-03,2026-01-03,Cancelled,Switched to Competitor
S000022,C049209,1,2025-03-13,2025-11-13,Cancelled,Low Engagement
S000023,C005133,2,2024-11-01,,Active,
S000024,C006399,1,2024-07-11,,Active,
S000025,C010434,2,2024-09-01,,Active,
S000026,C049052,1,2023-12-14,,Active,
S000027,C000209,2,2025-05-28,,Active,
S000028,C021645,2,2023-07-10,,Active,
S000029,C025046,2,2023-04-28,,Active,
S000030,C028184,2,2023-04-23,,Active,
S000031,C013406,2,2025-01-06,,Active,
S000032,C027138,1,2025-09-29,,Active,
S000033,C013831,2,2025-11-24,2026-04-24,Cancelled,Not Enough Content
S000034,C014191,1,2023-12-27,,Active,
S000035,C040185,1,2024-04-09,,Active,
S000036,C017082,2,2025-01-25,,Active,
S000037,C046648,3,2024-01-13,,Active,
S000038,C040862,1,2023-05-23,,Active,
S000039,C012348,1,2024-09-19,2025-12-19,Cancelled,Low Engagement
S000040,C034991,2,2025-02-05,2026-05-05,Cancelled,Low Engagement
S000041,C036561,1,2024-07-08,2025-09-08,Cancelled,Low Engagement
S000042,C006434,1,2024-09-03,2024-10-03,Cancelled,Low Engagement
S000043,C024170,1,2025-08-07,,Active,
S000044,C008058,1,2025-05-03,,Active,
S000045,C015585,1,2023-09-21,,Active,
S000046,C019935,3,2024-10-03,,Active,
S000047,C001182,1,2023-11-25,2025-10-25,Cancelled,Not Enough Content
S000048,C039140,1,2023-08-23,2024-10-23,Cancelled,Switched to Competitor
S000049,C011629,1,2025-07-14,,Active,
S000050,C019454,2,2025-02-01,2025-09-01,Cancelled,Low Engagement
S000051,C024230,1,2023-08-19,,Active,
S000052,C004442,3,2023-10-10,,Active,
S000053,C038372,2,2024-07-31,,Active,
S000054,C049760,2,2025-12-20,,Active,
S000055,C037799,1,2023-05-31,,Active,
S000056,C009173,1,2024-07-22,,Active,
S000057,C015415,2,2024-10-15,2026-06-15,Cancelled,Low Engagement
S000058,C030634,3,2025-11-12,2027-08-12,Cancelled,Not Enough Content
S000059,C024297,2,2025-03-14,,Active,
S000060,C022626,2,2025-07-31,,Active,
S000061,C046862,1,2023-04-07,2025-02-07,Cancelled,Technical Issues
S000062,C040607,1,2024-07-02,,Active,
S000063,C034045,1,2025-11-17,,Active,
S000064,C030136,1,2023-01-15,2023-12-15,Cancelled,Not Enough Content
S000065,C020473,3,2023-11-30,,Active,
S000066,C035045,1,2023-02-26,,Active,
S000067,C031730,1,2024-01-23,,Active,
S000068,C014126,1,2023-04-30,2025-01-30,Cancelled,Low Engagement
S000069,C013487,1,2024-06-23,2024-09-23,Cancelled,Not Enough Content
S000070,C005807,2,2024-06-23,2026-05-23,Cancelled,Low Engagement
S000071,C020392,1,2025-08-18,,Active,
S000072,C018134,2,2025-11-22,,Active,
S000073,C044151,3,2023-07-18,2024-03-18,Cancelled,Too Expensive
S000074,C043410,3,2025-02-06,2026-04-06,Cancelled,Too Expensive
S000075,C024719,1,2025-03-27,,Active,
S000076,C045683,2,2024-07-25,2026-01-25,Cancelled,Low Engagement
S000077,C029560,2,2025-11-20,2027-06-20,Cancelled,Technical Issues
S000078,C038208,3,2023-12-01,,Active,
S000079,C022785,3,2025-12-25,,Active,
S000080,C039911,2,2025-09-06,,Active,
S000081,C006370,2,2024-10-25,,Active,
S000082,C024184,2,2023-03-03,,Active,
